# BDM event per electron, with t_van included, assuming the open angle can fully cover the BDM flux
# Assuming g_V = g_X = eps = 1
# Multiplying the total electron number in a detector to get the total events
# mx (MeV)   events/electron 

1.00000e-06   2.26828e+04
1.38950e-06   1.52071e+04
1.93070e-06   9.77927e+03
2.68270e-06   6.05270e+03
3.72759e-06   3.80868e+03
5.17947e-06   2.07175e+03
7.19686e-06   1.41007e+03
1.00000e-05   8.33739e+02
1.38950e-05   5.33991e+02
1.93070e-05   2.56067e+02
2.68270e-05   1.92485e+02
3.72759e-05   9.68883e+01
5.17947e-05   8.05591e+01
7.19686e-05   5.07773e+01
1.00000e-04   3.09569e+01
1.38950e-04   1.74676e+01
1.93070e-04   1.12518e+01
2.68270e-04   5.80046e+00
3.72759e-04   3.44131e+00
5.17947e-04   1.91832e+00
7.19686e-04   1.59783e+00
1.00000e-03   8.32461e-01
1.38950e-03   5.45092e-01
1.93070e-03   3.43416e-01
2.68270e-03   2.19470e-01
3.72759e-03   1.28925e-01
5.17947e-03   7.61515e-02
7.19686e-03   4.40339e-02
1.00000e-02   3.11714e-02
1.38950e-02   1.74281e-02
1.93070e-02   8.79566e-03
2.68270e-02   5.26125e-03
3.72759e-02   3.87187e-03
5.17947e-02   2.09284e-03
7.19686e-02   9.54363e-04
1.00000e-01   4.15429e-04
1.38950e-01   2.17671e-04
1.93070e-01   8.71147e-05
2.68270e-01   2.91582e-05
3.72759e-01   8.09333e-06
5.17947e-01   2.25818e-06
7.19686e-01   7.41232e-07
1.00000e+00   1.86129e-07
1.38950e+00   2.57043e-08
1.93070e+00   9.87179e-10
2.68270e+00   5.21619e-11
3.72759e+00   3.49384e-12
5.17947e+00   3.80601e-13
7.19686e+00   3.42179e-14
1.00000e+01   2.49100e-15
