# BDM event per electron, with t_van included, assuming the open angle can fully cover the BDM flux
# Assuming g_V = g_X = 1 and eps = 0 (this induces eps_prime = g_V/70)
# Multiplying the total electron number in a detector to get the total events
# mx (MeV)   events/electron 

1.00000e-06   2.53304e+02
1.38950e-06   1.62655e+02
1.93070e-06   1.01719e+02
2.68270e-06   6.57584e+01
3.72759e-06   4.24320e+01
5.17947e-06   2.31304e+01
7.19686e-06   1.64859e+01
1.00000e-05   8.61137e+00
1.38950e-05   6.54010e+00
1.93070e-05   3.91654e+00
2.68270e-05   2.45269e+00
3.72759e-05   1.49408e+00
5.17947e-05   8.33321e-01
7.19686e-05   5.14517e-01
1.00000e-04   2.53246e-01
1.38950e-04   2.09357e-01
1.93070e-04   1.09555e-01
2.68270e-04   6.86441e-02
3.72759e-04   4.35741e-02
5.17947e-04   2.26164e-02
7.19686e-04   1.67942e-02
1.00000e-03   1.09325e-02
1.38950e-03   6.33032e-03
1.93070e-03   3.67575e-03
2.68270e-03   2.23979e-03
3.72759e-03   1.45146e-03
5.17947e-03   8.39997e-04
7.19686e-03   5.44478e-04
1.00000e-02   2.67493e-04
1.38950e-02   1.99741e-04
1.93070e-02   1.07069e-04
2.68270e-02   6.88451e-05
3.72759e-02   3.36695e-05
5.17947e-02   2.31201e-05
7.19686e-02   1.11371e-05
1.00000e-01   6.18722e-06
1.38950e-01   2.15773e-06
1.93070e-01   9.38778e-07
2.68270e-01   2.75524e-07
3.72759e-01   8.82186e-08
5.17947e-01   2.82108e-08
7.19686e-01   6.93640e-09
1.00000e+00   1.86228e-09
1.38950e+00   3.51049e-10
1.93070e+00   1.31068e-11
2.68270e+00   5.95665e-13
3.72759e+00   3.85916e-14
5.17947e+00   4.11116e-15
7.19686e+00   3.69966e-16
1.00000e+01   2.69011e-17
