# time       flux         exit_code
1.00000e+01  1.54640e-18  0
1.10130e+01  1.54628e-18  0
1.21287e+01  1.54589e-18  0
1.33573e+01  1.54629e-18  0
1.47104e+01  1.54606e-18  0
1.62006e+01  1.54629e-18  0
1.78418e+01  1.54627e-18  0
1.96492e+01  1.54600e-18  0
2.16396e+01  1.54643e-18  0
2.38318e+01  1.54597e-18  0
2.62460e+01  1.54630e-18  0
2.89047e+01  1.54642e-18  0
3.18328e+01  1.54611e-18  0
3.50575e+01  1.54638e-18  0
3.86089e+01  1.54620e-18  0
4.25201e+01  1.54635e-18  0
4.68274e+01  1.54616e-18  0
5.15711e+01  1.54613e-18  0
5.67954e+01  1.54601e-18  0
6.25488e+01  1.54646e-18  0
6.88851e+01  1.54607e-18  0
7.58633e+01  1.54648e-18  0
8.35483e+01  1.54661e-18  0
9.20119e+01  1.54642e-18  0
1.01333e+02  1.54640e-18  0
1.11598e+02  1.54615e-18  0
1.22903e+02  1.54649e-18  0
1.35353e+02  1.54620e-18  0
1.49065e+02  1.54600e-18  0
1.64165e+02  1.54667e-18  0
1.80796e+02  1.54614e-18  0
1.99111e+02  1.54630e-18  0
2.19281e+02  1.54638e-18  0
2.41494e+02  1.54619e-18  0
2.65958e+02  1.54619e-18  0
2.92900e+02  1.54670e-18  0
3.22571e+02  1.54614e-18  0
3.55248e+02  1.54625e-18  0
3.91235e+02  1.54615e-18  0
4.30868e+02  1.54623e-18  0
4.74516e+02  1.54633e-18  0
5.22585e+02  1.54656e-18  0
5.75524e+02  1.54633e-18  0
6.33825e+02  1.54589e-18  0
6.98033e+02  1.54607e-18  0
7.68744e+02  1.54615e-18  0
8.46619e+02  1.54641e-18  0
9.32383e+02  1.54617e-18  0
1.02684e+03  1.54621e-18  0
1.13086e+03  1.54647e-18  0
1.24541e+03  1.54628e-18  0
1.37158e+03  1.54637e-18  0
1.51052e+03  1.54650e-18  0
1.66354e+03  1.54643e-18  0
1.83205e+03  1.54628e-18  0
2.01764e+03  1.54634e-18  0
2.22203e+03  1.54651e-18  0
2.44713e+03  1.54609e-18  0
2.69503e+03  1.54639e-18  0
2.96804e+03  1.54614e-18  0
3.26871e+03  1.54621e-18  0
3.59983e+03  1.54621e-18  0
3.96450e+03  1.54620e-18  0
4.36611e+03  1.54630e-18  0
4.80840e+03  1.54616e-18  0
5.29550e+03  1.54627e-18  0
5.83195e+03  1.54615e-18  0
6.42273e+03  1.54658e-18  0
7.07337e+03  1.54628e-18  0
7.78991e+03  1.54608e-18  0
8.57904e+03  1.54605e-18  0
9.44811e+03  1.54613e-18  0
1.04052e+04  1.54618e-18  0
1.14593e+04  1.54637e-18  0
1.26201e+04  1.54625e-18  0
1.38986e+04  1.54606e-18  0
1.53065e+04  1.54601e-18  0
1.68571e+04  1.54625e-18  0
1.85647e+04  1.54637e-18  0
2.04454e+04  1.54636e-18  0
2.25165e+04  1.54631e-18  0
2.47975e+04  1.54636e-18  0
2.73095e+04  1.54620e-18  0
