# time       flux         exit_code
1.00000e+01  1.54624e-18  0
1.10130e+01  1.54625e-18  0
1.21287e+01  1.54647e-18  0
1.33573e+01  1.54598e-18  0
1.47104e+01  1.54633e-18  0
1.62006e+01  1.54638e-18  0
1.78418e+01  1.54631e-18  0
1.96492e+01  1.54616e-18  0
2.16396e+01  1.54585e-18  0
2.38318e+01  1.54605e-18  0
2.62460e+01  1.54625e-18  0
2.89047e+01  1.54635e-18  0
3.18328e+01  1.54626e-18  0
3.50575e+01  1.54596e-18  0
3.86089e+01  1.54654e-18  0
4.25201e+01  1.54630e-18  0
4.68274e+01  1.54617e-18  0
5.15711e+01  1.54656e-18  0
5.67954e+01  1.54625e-18  0
6.25488e+01  1.54647e-18  0
6.88851e+01  1.54618e-18  0
7.58633e+01  1.54643e-18  0
8.35483e+01  1.54617e-18  0
9.20119e+01  1.54633e-18  0
1.01333e+02  1.54615e-18  0
1.11598e+02  1.54644e-18  0
1.22903e+02  1.54599e-18  0
1.35353e+02  1.54664e-18  0
1.49065e+02  1.54624e-18  0
1.64165e+02  1.54609e-18  0
1.80796e+02  1.54628e-18  0
1.99111e+02  1.54639e-18  0
2.19281e+02  1.54621e-18  0
2.41494e+02  1.54587e-18  0
2.65958e+02  1.54620e-18  0
2.92900e+02  1.54609e-18  0
3.22571e+02  1.54640e-18  0
3.55248e+02  1.54620e-18  0
3.91235e+02  1.54656e-18  0
4.30868e+02  1.54651e-18  0
4.74516e+02  1.54621e-18  0
5.22585e+02  1.54636e-18  0
5.75524e+02  1.54632e-18  0
6.33825e+02  1.54649e-18  0
6.98033e+02  1.54644e-18  0
7.68744e+02  1.54618e-18  0
8.46619e+02  1.54641e-18  0
9.32383e+02  1.54620e-18  0
1.02684e+03  1.54603e-18  0
1.13086e+03  1.54609e-18  0
1.24541e+03  1.54632e-18  0
1.37158e+03  1.54649e-18  0
1.51052e+03  1.54620e-18  0
1.66354e+03  1.54628e-18  0
1.83205e+03  1.54600e-18  0
2.01764e+03  1.54596e-18  0
2.22203e+03  1.54645e-18  0
2.44713e+03  1.54613e-18  0
2.69503e+03  1.54629e-18  0
2.96804e+03  1.54608e-18  0
3.26871e+03  1.54635e-18  0
3.59983e+03  1.54622e-18  0
3.96450e+03  1.54637e-18  0
4.36611e+03  1.54640e-18  0
4.80840e+03  1.54612e-18  0
5.29550e+03  1.54645e-18  0
5.83195e+03  1.54634e-18  0
6.42273e+03  1.54611e-18  0
7.07337e+03  1.54651e-18  0
7.78991e+03  1.54628e-18  0
8.57904e+03  1.54651e-18  0
9.44811e+03  1.54671e-18  0
1.04052e+04  1.54632e-18  0
1.14593e+04  1.54659e-18  0
1.26201e+04  1.54617e-18  0
1.38986e+04  1.54596e-18  0
1.53065e+04  1.54615e-18  0
1.68571e+04  1.54613e-18  0
1.85647e+04  1.54647e-18  0
2.04454e+04  1.54635e-18  0
2.25165e+04  1.54622e-18  0
2.47975e+04  1.54672e-18  0
2.73095e+04  1.54619e-18  0
3.00760e+04  1.54616e-18  0
3.31227e+04  1.54663e-18  0
3.64781e+04  1.54642e-18  0
4.01734e+04  1.54674e-18  0
4.42431e+04  1.54639e-18  0
4.87250e+04  1.54658e-18  0
5.36609e+04  1.54660e-18  0
5.90968e+04  1.54683e-18  0
6.50834e+04  1.54651e-18  0
7.16764e+04  1.54681e-18  0
7.89374e+04  1.54644e-18  0
8.69339e+04  1.54680e-18  0
9.57404e+04  1.54706e-18  0
1.05439e+05  1.54653e-18  0
1.16120e+05  1.54710e-18  0
1.27883e+05  1.54745e-18  0
1.40838e+05  1.54725e-18  0
1.55105e+05  1.54688e-18  0
1.70818e+05  1.54730e-18  0
1.88122e+05  1.54742e-18  0
2.07179e+05  1.54766e-18  0
2.28166e+05  1.54798e-18  0
2.51280e+05  1.54799e-18  0
2.76735e+05  1.54833e-18  0
3.04769e+05  1.54799e-18  0
3.35642e+05  1.54861e-18  0
3.69643e+05  1.54835e-18  0
4.07089e+05  1.54910e-18  0
4.48328e+05  1.54915e-18  0
4.93744e+05  1.54973e-18  0
5.43761e+05  1.54960e-18  0
5.98845e+05  1.55006e-18  0
6.59509e+05  1.55076e-18  0
7.26318e+05  1.55141e-18  0
7.99895e+05  1.55144e-18  0
8.80926e+05  1.55202e-18  0
9.70165e+05  1.55248e-18  0
1.06844e+06  1.55278e-18  0
1.17668e+06  1.55363e-18  0
1.29588e+06  1.55440e-18  0
1.42715e+06  1.55555e-18  0
1.57173e+06  1.55639e-18  0
1.73094e+06  1.55724e-18  0
1.90629e+06  1.55890e-18  0
2.09940e+06  1.55955e-18  0
2.31208e+06  1.56108e-18  0
2.54629e+06  1.56251e-18  0
2.80424e+06  1.56407e-18  0
3.08831e+06  1.56602e-18  0
3.40116e+06  1.56829e-18  0
3.74570e+06  1.57015e-18  0
4.12515e+06  1.57290e-18  0
4.54303e+06  1.57566e-18  0
5.00325e+06  1.57863e-18  0
5.51009e+06  1.58219e-18  0
6.06827e+06  1.58614e-18  0
6.68299e+06  1.59007e-18  0
7.35999e+06  1.59463e-18  0
8.10557e+06  1.59988e-18  0
8.92668e+06  1.60556e-18  0
9.83096e+06  1.61169e-18  0
1.08269e+07  1.61878e-18  0
1.19236e+07  1.62650e-18  0
1.31315e+07  1.63538e-18  0
1.44618e+07  1.64523e-18  0
1.59268e+07  1.65667e-18  0
1.75402e+07  1.66886e-18  0
1.93170e+07  1.68282e-18  0
2.12739e+07  1.69902e-18  0
2.34289e+07  1.71789e-18  0
2.58023e+07  1.73979e-18  0
2.84161e+07  1.76559e-18  0
3.12947e+07  1.79706e-18  0
3.44649e+07  1.83777e-18  0
3.79563e+07  1.89669e-18  0
4.18013e+07  2.02433e-18  0
4.60359e+07  4.87123e-18  0
5.06994e+07  4.85646e-18  0
5.58353e+07  4.84966e-18  0
6.14915e+07  4.85694e-18  0
6.77207e+07  4.86780e-18  0
7.45809e+07  4.88360e-18  0
8.21361e+07  4.90111e-18  0
9.04566e+07  4.91525e-18  0
9.96200e+07  4.93886e-18  0
1.09712e+08  4.95994e-18  0
1.20826e+08  4.97837e-18  0
1.33065e+08  5.01312e-18  0
1.46545e+08  5.03625e-18  0
1.61390e+08  5.07042e-18  0
1.77740e+08  5.10223e-18  0
1.95745e+08  5.13401e-18  0
2.15574e+08  5.17506e-18  0
2.37412e+08  5.22000e-18  0
2.61462e+08  5.25792e-18  0
2.87949e+08  5.30637e-18  0
3.17119e+08  5.35763e-18  0
3.49243e+08  5.40530e-18  0
3.84622e+08  5.46044e-18  0
4.23585e+08  5.51578e-18  0
4.66495e+08  5.57850e-18  0
5.13751e+08  5.63399e-18  0
5.65795e+08  5.69498e-18  0
6.23111e+08  5.75004e-18  0
6.86233e+08  5.79974e-18  0
7.55750e+08  5.83753e-18  0
8.32308e+08  5.85813e-18  0
9.16623e+08  5.85101e-18  0
1.00948e+09  5.79209e-18  0
1.11174e+09  5.64288e-18  0
1.22436e+09  5.32967e-18  0
1.34839e+09  4.70490e-18  0
1.48498e+09  3.55528e-18  0
1.63542e+09  1.84021e-18  0
1.80109e+09  3.31827e-19  0
1.98354e+09  5.69271e-22  0
2.18447e+09  0.00000e+00  0
