# time       flux         exit_code
1.00000e+01  1.54637e-18  0
1.10130e+01  1.54652e-18  0
1.21287e+01  1.54624e-18  0
1.33573e+01  1.54658e-18  0
1.47104e+01  1.54625e-18  0
1.62006e+01  1.54641e-18  0
1.78418e+01  1.54593e-18  0
1.96492e+01  1.54636e-18  0
2.16396e+01  1.54608e-18  0
2.38318e+01  1.54637e-18  0
2.62460e+01  1.54598e-18  0
2.89047e+01  1.54639e-18  0
3.18328e+01  1.54651e-18  0
3.50575e+01  1.54616e-18  0
3.86089e+01  1.54650e-18  0
4.25201e+01  1.54627e-18  0
4.68274e+01  1.54651e-18  0
5.15711e+01  1.54657e-18  0
5.67954e+01  1.54616e-18  0
6.25488e+01  1.54603e-18  0
6.88851e+01  1.54653e-18  0
7.58633e+01  1.54602e-18  0
8.35483e+01  1.54618e-18  0
9.20119e+01  1.54615e-18  0
1.01333e+02  1.54599e-18  0
1.11598e+02  1.54611e-18  0
1.22903e+02  1.54603e-18  0
1.35353e+02  1.54584e-18  0
1.49065e+02  1.54641e-18  0
1.64165e+02  1.54635e-18  0
1.80796e+02  1.54657e-18  0
1.99111e+02  1.54591e-18  0
2.19281e+02  1.54661e-18  0
2.41494e+02  1.54622e-18  0
2.65958e+02  1.54638e-18  0
2.92900e+02  1.54626e-18  0
3.22571e+02  1.54661e-18  0
3.55248e+02  1.54595e-18  0
3.91235e+02  1.54607e-18  0
4.30868e+02  1.54635e-18  0
4.74516e+02  1.54592e-18  0
5.22585e+02  1.54631e-18  0
5.75524e+02  1.54632e-18  0
6.33825e+02  1.54655e-18  0
6.98033e+02  1.54623e-18  0
7.68744e+02  1.54620e-18  0
8.46619e+02  1.54611e-18  0
9.32383e+02  1.54618e-18  0
1.02684e+03  1.54632e-18  0
1.13086e+03  1.54622e-18  0
1.24541e+03  1.54618e-18  0
1.37158e+03  1.54649e-18  0
1.51052e+03  1.54636e-18  0
1.66354e+03  1.54578e-18  0
1.83205e+03  1.54623e-18  0
2.01764e+03  1.54620e-18  0
2.22203e+03  1.54651e-18  0
2.44713e+03  1.54644e-18  0
2.69503e+03  1.54657e-18  0
2.96804e+03  1.54662e-18  0
3.26871e+03  1.54621e-18  0
3.59983e+03  1.54647e-18  0
3.96450e+03  1.54619e-18  0
4.36611e+03  1.54597e-18  0
4.80840e+03  1.54658e-18  0
5.29550e+03  1.54612e-18  0
5.83195e+03  1.54607e-18  0
6.42273e+03  1.54617e-18  0
7.07337e+03  1.54627e-18  0
7.78991e+03  1.54651e-18  0
8.57904e+03  1.54655e-18  0
9.44811e+03  1.54674e-18  0
1.04052e+04  1.54616e-18  0
1.14593e+04  1.54667e-18  0
1.26201e+04  1.54631e-18  0
1.38986e+04  1.54656e-18  0
1.53065e+04  1.54626e-18  0
1.68571e+04  1.54620e-18  0
1.85647e+04  1.54616e-18  0
2.04454e+04  1.54626e-18  0
2.25165e+04  1.54653e-18  0
2.47975e+04  1.54678e-18  0
2.73095e+04  1.54680e-18  0
3.00760e+04  1.54676e-18  0
3.31227e+04  1.54661e-18  0
3.64781e+04  1.54630e-18  0
4.01734e+04  1.54705e-18  0
4.42431e+04  1.54653e-18  0
4.87250e+04  1.54682e-18  0
5.36609e+04  1.54669e-18  0
5.90968e+04  1.54701e-18  0
6.50834e+04  1.54693e-18  0
7.16764e+04  1.54712e-18  0
7.89374e+04  1.54741e-18  0
8.69339e+04  1.54724e-18  0
9.57404e+04  1.54709e-18  0
1.05439e+05  1.54715e-18  0
1.16120e+05  1.54754e-18  0
1.27883e+05  1.54765e-18  0
1.40838e+05  1.54783e-18  0
1.55105e+05  1.54778e-18  0
1.70818e+05  1.54794e-18  0
1.88122e+05  1.54806e-18  0
2.07179e+05  1.54820e-18  0
2.28166e+05  1.54845e-18  0
2.51280e+05  1.54877e-18  0
2.76735e+05  1.54874e-18  0
3.04769e+05  1.54951e-18  0
3.35642e+05  1.54946e-18  0
3.69643e+05  1.54975e-18  0
4.07089e+05  1.55043e-18  0
4.48328e+05  1.55087e-18  0
4.93744e+05  1.55127e-18  0
5.43761e+05  1.55213e-18  0
5.98845e+05  1.55236e-18  0
6.59509e+05  1.55300e-18  0
7.26318e+05  1.55383e-18  0
7.99895e+05  1.55448e-18  0
8.80926e+05  1.55523e-18  0
9.70165e+05  1.55639e-18  0
1.06844e+06  1.55702e-18  0
1.17668e+06  1.55858e-18  0
1.29588e+06  1.55956e-18  0
1.42715e+06  1.56087e-18  0
1.57173e+06  1.56304e-18  0
1.73094e+06  1.56460e-18  0
1.90629e+06  1.56587e-18  0
2.09940e+06  1.56781e-18  0
2.31208e+06  1.57045e-18  0
2.54629e+06  1.57280e-18  0
2.80424e+06  1.57586e-18  0
3.08831e+06  1.57874e-18  0
3.40116e+06  1.58169e-18  0
3.74570e+06  1.58571e-18  0
4.12515e+06  1.58979e-18  0
4.54303e+06  1.59449e-18  0
5.00325e+06  1.59986e-18  0
5.51009e+06  1.60554e-18  0
6.06827e+06  1.61180e-18  0
6.68299e+06  1.61937e-18  0
7.35999e+06  1.62673e-18  0
8.10557e+06  1.63580e-18  0
