# time  flux
1.00000e+01  2.19636e-17
1.10407e+01  2.19491e-17
1.21896e+01  2.19588e-17
1.34582e+01  2.19599e-17
1.48587e+01  2.19683e-17
1.64050e+01  2.19566e-17
1.81122e+01  2.19561e-17
1.99971e+01  2.19559e-17
2.20781e+01  2.19549e-17
2.43757e+01  2.19511e-17
2.69124e+01  2.19572e-17
2.97131e+01  2.19517e-17
3.28052e+01  2.19617e-17
3.62192e+01  2.19503e-17
3.99884e+01  2.19263e-17
4.41498e+01  2.19679e-17
4.87443e+01  2.19706e-17
5.38170e+01  2.19591e-17
5.94175e+01  2.19436e-17
6.56009e+01  2.19400e-17
7.24278e+01  2.19496e-17
7.99651e+01  2.19357e-17
8.82868e+01  2.19407e-17
9.74745e+01  2.19476e-17
1.07618e+02  2.19559e-17
1.18818e+02  2.19543e-17
1.31183e+02  2.19622e-17
1.44834e+02  2.19788e-17
1.59907e+02  2.19526e-17
1.76548e+02  2.19546e-17
1.94921e+02  2.19534e-17
2.15205e+02  2.19613e-17
2.37601e+02  2.19587e-17
2.62327e+02  2.19592e-17
2.89627e+02  2.19557e-17
3.19767e+02  2.19550e-17
3.53044e+02  2.19523e-17
3.89784e+02  2.19577e-17
4.30348e+02  2.19393e-17
4.75133e+02  2.19448e-17
5.24578e+02  2.19655e-17
5.79169e+02  2.19365e-17
6.39441e+02  2.19570e-17
7.05986e+02  2.19551e-17
7.79455e+02  2.19668e-17
8.60571e+02  2.19521e-17
9.50127e+02  2.19565e-17
1.04900e+03  2.19526e-17
1.15817e+03  2.19640e-17
1.27870e+03  2.19524e-17
1.41177e+03  2.19531e-17
1.55868e+03  2.19432e-17
1.72089e+03  2.19490e-17
1.89998e+03  2.19557e-17
2.09770e+03  2.19409e-17
2.31600e+03  2.19647e-17
2.55702e+03  2.19566e-17
2.82312e+03  2.19335e-17
3.11691e+03  2.19260e-17
3.44128e+03  2.19524e-17
3.79940e+03  2.19316e-17
4.19479e+03  2.19587e-17
4.63133e+03  2.19540e-17
5.11330e+03  2.19444e-17
5.64542e+03  2.19586e-17
6.23292e+03  2.19482e-17
6.88156e+03  2.19672e-17
7.59770e+03  2.19280e-17
8.38837e+03  2.19492e-17
9.26132e+03  2.19478e-17
1.02251e+04  2.19436e-17
1.12892e+04  2.19533e-17
1.24640e+04  2.19469e-17
1.37611e+04  2.19491e-17
1.51932e+04  2.19503e-17
1.67743e+04  2.19678e-17
1.85199e+04  2.19697e-17
2.04472e+04  2.19457e-17
2.25751e+04  2.19461e-17
2.49244e+04  2.19487e-17
2.75182e+04  2.19437e-17
3.03820e+04  2.19589e-17
3.35437e+04  2.19598e-17
3.70345e+04  2.19578e-17
4.08885e+04  2.19602e-17
4.51437e+04  2.19489e-17
4.98416e+04  2.19526e-17
5.50285e+04  2.19489e-17
6.07551e+04  2.19595e-17
6.70776e+04  2.19523e-17
7.40582e+04  2.19663e-17
8.17652e+04  2.19534e-17
9.02742e+04  2.19736e-17
9.96687e+04  2.19397e-17
1.10041e+05  2.19611e-17
1.21492e+05  2.19626e-17
1.34136e+05  2.19514e-17
1.48095e+05  2.19714e-17
1.63507e+05  2.19467e-17
1.80522e+05  2.19551e-17
1.99308e+05  2.19456e-17
2.20050e+05  2.19573e-17
2.42950e+05  2.19472e-17
2.68233e+05  2.19699e-17
2.96147e+05  2.19600e-17
3.26965e+05  2.19664e-17
3.60992e+05  2.19608e-17
3.98559e+05  2.19648e-17
4.40035e+05  2.19664e-17
4.85828e+05  2.19586e-17
5.36387e+05  2.19631e-17
5.92207e+05  2.19556e-17
6.53836e+05  2.19821e-17
7.21878e+05  2.19615e-17
7.97002e+05  2.19566e-17
8.79943e+05  2.19699e-17
9.71516e+05  2.19533e-17
1.07262e+06  2.19743e-17
1.18424e+06  2.19723e-17
1.30748e+06  2.19516e-17
1.44355e+06  2.19640e-17
1.59377e+06  2.19633e-17
1.75963e+06  2.19513e-17
1.94275e+06  2.19578e-17
2.14492e+06  2.19508e-17
2.36814e+06  2.19720e-17
2.61458e+06  2.19549e-17
2.88667e+06  2.19699e-17
3.18708e+06  2.19747e-17
3.51875e+06  2.19983e-17
3.88493e+06  2.19801e-17
4.28922e+06  2.19957e-17
4.73559e+06  2.19745e-17
5.22840e+06  2.19795e-17
5.77251e+06  2.20094e-17
6.37323e+06  2.20106e-17
7.03647e+06  2.20204e-17
7.76873e+06  2.20025e-17
8.57720e+06  2.20260e-17
9.46980e+06  2.20159e-17
1.04553e+07  2.20292e-17
1.15433e+07  2.20508e-17
1.27446e+07  2.20460e-17
1.40709e+07  2.20550e-17
1.55352e+07  2.20622e-17
1.71519e+07  2.20906e-17
1.89368e+07  2.20779e-17
2.09075e+07  2.20996e-17
2.30833e+07  2.21030e-17
2.54855e+07  2.21507e-17
2.81377e+07  2.21559e-17
3.10659e+07  2.21746e-17
3.42988e+07  2.22020e-17
3.78682e+07  2.22427e-17
4.18090e+07  2.22620e-17
4.61599e+07  2.23002e-17
5.09636e+07  2.23386e-17
5.62672e+07  2.23799e-17
6.21227e+07  2.24346e-17
6.85876e+07  2.25257e-17
7.57253e+07  2.98369e-17
8.36058e+07  3.02242e-17
9.23063e+07  3.03207e-17
1.01912e+08  3.03567e-17
1.12518e+08  3.04411e-17
1.24227e+08  3.06416e-17
1.37155e+08  3.06761e-17
1.51429e+08  3.08059e-17
1.67187e+08  3.09058e-17
1.84586e+08  3.11360e-17
2.03795e+08  3.11638e-17
2.25003e+08  3.13979e-17
2.48419e+08  3.15918e-17
2.74271e+08  3.17923e-17
3.02813e+08  3.21126e-17
3.34326e+08  3.23986e-17
3.69118e+08  3.26364e-17
4.07531e+08  3.30576e-17
4.49941e+08  3.34288e-17
4.96765e+08  3.39133e-17
5.48462e+08  3.43864e-17
6.05538e+08  3.49546e-17
6.68554e+08  3.56487e-17
7.38128e+08  3.64095e-17
8.14943e+08  3.72444e-17
8.99751e+08  3.83083e-17
9.93385e+08  3.94140e-17
1.09676e+09  4.07783e-17
1.21090e+09  4.24060e-17
1.33691e+09  4.43599e-17
1.47604e+09  4.66934e-17
1.62965e+09  4.94228e-17
1.79924e+09  5.26933e-17
1.98648e+09  5.62657e-17
2.19321e+09  5.94263e-17
2.42145e+09  5.88826e-17
2.67344e+09  4.68703e-17
2.95165e+09  1.74569e-17
3.25882e+09  1.29090e-19
3.59796e+09  0.00000e+00
