# time  flux
1.00000e+01  4.77961e-16
1.09555e+01  4.77982e-16
1.20024e+01  4.78047e-16
1.31492e+01  4.77828e-16
1.44057e+01  4.78247e-16
1.57822e+01  4.77917e-16
1.72902e+01  4.78084e-16
1.89424e+01  4.78701e-16
2.07524e+01  4.77783e-16
2.27353e+01  4.78038e-16
2.49077e+01  4.78022e-16
2.72877e+01  4.78027e-16
2.98952e+01  4.78066e-16
3.27517e+01  4.78171e-16
3.58813e+01  4.77912e-16
3.93098e+01  4.78053e-16
4.30660e+01  4.78125e-16
4.71811e+01  4.77781e-16
5.16894e+01  4.78332e-16
5.66285e+01  4.78200e-16
6.20395e+01  4.78273e-16
6.79676e+01  4.78191e-16
7.44621e+01  4.78082e-16
8.15771e+01  4.78043e-16
8.93721e+01  4.77959e-16
9.79119e+01  4.77886e-16
1.07268e+02  4.78142e-16
1.17517e+02  4.78030e-16
1.28747e+02  4.77896e-16
1.41049e+02  4.78189e-16
1.54526e+02  4.78343e-16
1.69292e+02  4.77875e-16
1.85468e+02  4.78102e-16
2.03190e+02  4.78258e-16
2.22606e+02  4.78038e-16
2.43876e+02  4.78226e-16
2.67179e+02  4.78003e-16
2.92709e+02  4.78105e-16
3.20678e+02  4.78189e-16
3.51320e+02  4.77962e-16
3.84890e+02  4.78288e-16
4.21667e+02  4.77986e-16
4.61959e+02  4.77888e-16
5.06101e+02  4.77889e-16
5.54460e+02  4.78083e-16
6.07440e+02  4.77320e-16
6.65483e+02  4.77719e-16
7.29072e+02  4.78662e-16
7.98737e+02  4.78069e-16
8.75059e+02  4.77971e-16
9.58673e+02  4.78039e-16
1.05028e+03  4.78129e-16
1.15063e+03  4.77815e-16
1.26058e+03  4.78176e-16
1.38103e+03  4.77925e-16
1.51300e+03  4.78126e-16
1.65757e+03  4.77613e-16
1.81595e+03  4.78005e-16
1.98947e+03  4.78297e-16
2.17957e+03  4.78250e-16
2.38784e+03  4.77666e-16
2.61600e+03  4.78274e-16
2.86597e+03  4.77568e-16
3.13982e+03  4.78057e-16
3.43984e+03  4.78375e-16
3.76853e+03  4.78109e-16
4.12862e+03  4.77847e-16
4.52313e+03  4.78093e-16
4.95532e+03  4.78477e-16
5.42882e+03  4.78057e-16
5.94756e+03  4.78046e-16
6.51587e+03  4.78405e-16
7.13848e+03  4.78726e-16
7.82058e+03  4.77570e-16
8.56786e+03  4.78054e-16
9.38655e+03  4.78106e-16
1.02835e+04  4.77972e-16
1.12661e+04  4.78213e-16
1.23426e+04  4.78011e-16
1.35220e+04  4.77954e-16
1.48140e+04  4.77875e-16
1.62296e+04  4.78025e-16
1.77803e+04  4.77926e-16
1.94793e+04  4.78021e-16
2.13406e+04  4.77904e-16
2.33798e+04  4.78181e-16
2.56138e+04  4.78257e-16
2.80612e+04  4.78288e-16
3.07426e+04  4.78353e-16
3.36801e+04  4.78002e-16
3.68984e+04  4.78243e-16
4.04241e+04  4.78377e-16
4.42868e+04  4.77835e-16
4.85185e+04  4.77896e-16
5.31546e+04  4.78068e-16
5.82337e+04  4.78037e-16
6.37981e+04  4.78167e-16
6.98942e+04  4.78125e-16
7.65728e+04  4.78111e-16
8.38896e+04  4.77961e-16
9.19055e+04  4.78161e-16
1.00687e+05  4.78218e-16
1.10308e+05  4.78059e-16
1.20849e+05  4.78061e-16
1.32396e+05  4.78326e-16
1.45047e+05  4.78203e-16
1.58907e+05  4.78021e-16
1.74091e+05  4.78010e-16
1.90725e+05  4.78266e-16
2.08950e+05  4.78051e-16
2.28916e+05  4.78150e-16
2.50789e+05  4.78169e-16
2.74753e+05  4.78410e-16
3.01006e+05  4.78279e-16
3.29768e+05  4.78185e-16
3.61279e+05  4.78487e-16
3.95800e+05  4.78336e-16
4.33620e+05  4.78753e-16
4.75054e+05  4.78759e-16
5.20447e+05  4.78573e-16
5.70177e+05  4.78406e-16
6.24659e+05  4.78330e-16
6.84347e+05  4.78620e-16
7.49739e+05  4.78642e-16
8.21378e+05  4.78580e-16
8.99864e+05  4.78884e-16
9.85848e+05  4.78723e-16
1.08005e+06  4.79142e-16
1.18325e+06  4.78902e-16
1.29631e+06  4.79147e-16
