# time  flux
1.00000e+01  2.19609e-17
1.10407e+01  2.19468e-17
1.21896e+01  2.19380e-17
1.34582e+01  2.19600e-17
1.48587e+01  2.19577e-17
1.64050e+01  2.19582e-17
1.81122e+01  2.19569e-17
1.99971e+01  2.19623e-17
2.20781e+01  2.19417e-17
2.43757e+01  2.19448e-17
2.69124e+01  2.19554e-17
2.97131e+01  2.19497e-17
3.28052e+01  2.19542e-17
3.62192e+01  2.19633e-17
3.99884e+01  2.19536e-17
4.41498e+01  2.19731e-17
4.87443e+01  2.19687e-17
5.38170e+01  2.19726e-17
5.94175e+01  2.19565e-17
6.56009e+01  2.19472e-17
7.24278e+01  2.19457e-17
7.99651e+01  2.19635e-17
8.82868e+01  2.19398e-17
9.74745e+01  2.19538e-17
1.07618e+02  2.19623e-17
1.18818e+02  2.19291e-17
1.31183e+02  2.19573e-17
1.44834e+02  2.19413e-17
1.59907e+02  2.19651e-17
1.76548e+02  2.19546e-17
1.94921e+02  2.19594e-17
2.15205e+02  2.19364e-17
2.37601e+02  2.19487e-17
2.62327e+02  2.19580e-17
2.89627e+02  2.19652e-17
3.19767e+02  2.19808e-17
3.53044e+02  2.19555e-17
3.89784e+02  2.19588e-17
4.30348e+02  2.19545e-17
4.75133e+02  2.19609e-17
5.24578e+02  2.19441e-17
5.79169e+02  2.19646e-17
6.39441e+02  2.19451e-17
7.05986e+02  2.19515e-17
7.79455e+02  2.19448e-17
8.60571e+02  2.19569e-17
9.50127e+02  2.19502e-17
1.04900e+03  2.19481e-17
1.15817e+03  2.19476e-17
1.27870e+03  2.19474e-17
1.41177e+03  2.19542e-17
1.55868e+03  2.19420e-17
1.72089e+03  2.19614e-17
1.89998e+03  2.19527e-17
2.09770e+03  2.19428e-17
2.31600e+03  2.19452e-17
2.55702e+03  2.19563e-17
2.82312e+03  2.19432e-17
3.11691e+03  2.19595e-17
3.44128e+03  2.19513e-17
3.79940e+03  2.19526e-17
4.19479e+03  2.19554e-17
4.63133e+03  2.19479e-17
5.11330e+03  2.19474e-17
5.64542e+03  2.19568e-17
6.23292e+03  2.19382e-17
6.88156e+03  2.19448e-17
7.59770e+03  2.19589e-17
8.38837e+03  2.19595e-17
9.26132e+03  2.19675e-17
1.02251e+04  2.19416e-17
1.12892e+04  2.19539e-17
1.24640e+04  2.19398e-17
1.37611e+04  2.19551e-17
1.51932e+04  2.19343e-17
1.67743e+04  2.19627e-17
1.85199e+04  2.19491e-17
2.04472e+04  2.19725e-17
2.25751e+04  2.19411e-17
2.49244e+04  2.19556e-17
2.75182e+04  2.19435e-17
3.03820e+04  2.19470e-17
3.35437e+04  2.19558e-17
3.70345e+04  2.19514e-17
4.08885e+04  2.19615e-17
4.51437e+04  2.19605e-17
4.98416e+04  2.19736e-17
5.50285e+04  2.19744e-17
6.07551e+04  2.19573e-17
6.70776e+04  2.19514e-17
7.40582e+04  2.19381e-17
8.17652e+04  2.19478e-17
9.02742e+04  2.19587e-17
9.96687e+04  2.19417e-17
1.10041e+05  2.19624e-17
1.21492e+05  2.19664e-17
1.34136e+05  2.19627e-17
1.48095e+05  2.19562e-17
1.63507e+05  2.19582e-17
1.80522e+05  2.19378e-17
1.99308e+05  2.19645e-17
2.20050e+05  2.19557e-17
2.42950e+05  2.19453e-17
2.68233e+05  2.19671e-17
2.96147e+05  2.19368e-17
3.26965e+05  2.19581e-17
3.60992e+05  2.19434e-17
3.98559e+05  2.19753e-17
4.40035e+05  2.19423e-17
4.85828e+05  2.19568e-17
5.36387e+05  2.19393e-17
5.92207e+05  2.19389e-17
6.53836e+05  2.19558e-17
7.21878e+05  2.19628e-17
7.97002e+05  2.19739e-17
8.79943e+05  2.19418e-17
9.71516e+05  2.19423e-17
1.07262e+06  2.19531e-17
1.18424e+06  2.19270e-17
1.30748e+06  2.19307e-17
1.44355e+06  2.19606e-17
1.59377e+06  2.19472e-17
1.75963e+06  2.19495e-17
1.94275e+06  2.19547e-17
2.14492e+06  2.19544e-17
2.36814e+06  2.19489e-17
2.61458e+06  2.19311e-17
2.88667e+06  2.19323e-17
3.18708e+06  2.19435e-17
3.51875e+06  2.19448e-17
3.88493e+06  2.19453e-17
4.28922e+06  2.19364e-17
4.73559e+06  2.19571e-17
5.22840e+06  2.19303e-17
5.77251e+06  2.19335e-17
6.37323e+06  2.19579e-17
7.03647e+06  2.19235e-17
7.76873e+06  2.19268e-17
8.57720e+06  2.19233e-17
9.46980e+06  2.19323e-17
1.04553e+07  2.19276e-17
1.15433e+07  2.19162e-17
1.27446e+07  2.19372e-17
1.40709e+07  2.19459e-17
1.55352e+07  2.19064e-17
1.71519e+07  2.19167e-17
1.89368e+07  2.18977e-17
2.09075e+07  2.19013e-17
2.30833e+07  2.19018e-17
2.54855e+07  2.18791e-17
2.81377e+07  2.18649e-17
3.10659e+07  2.18726e-17
3.42988e+07  2.18756e-17
3.78682e+07  2.18521e-17
4.18090e+07  2.18661e-17
4.61599e+07  2.18324e-17
5.09636e+07  2.18403e-17
5.62672e+07  2.18477e-17
6.21227e+07  2.18329e-17
6.85876e+07  2.18483e-17
7.57253e+07  2.45269e-17
8.36058e+07  2.59131e-17
9.23063e+07  2.60043e-17
1.01912e+08  2.60625e-17
1.12518e+08  2.60155e-17
1.24227e+08  2.59637e-17
1.37155e+08  2.60325e-17
1.51429e+08  2.59898e-17
1.67187e+08  2.59484e-17
1.84586e+08  2.59124e-17
2.03795e+08  2.59604e-17
2.25003e+08  2.59187e-17
2.48419e+08  2.59747e-17
2.74271e+08  2.60037e-17
3.02813e+08  2.59977e-17
3.34326e+08  2.60085e-17
3.69118e+08  2.60446e-17
4.07531e+08  2.60652e-17
4.49941e+08  2.60879e-17
4.96765e+08  2.61345e-17
5.48462e+08  2.62039e-17
6.05538e+08  2.63455e-17
6.68554e+08  2.64403e-17
7.38128e+08  2.66079e-17
8.14943e+08  2.67838e-17
8.99751e+08  2.70514e-17
9.93385e+08  2.73704e-17
1.09676e+09  2.77724e-17
1.21090e+09  2.82650e-17
1.33691e+09  2.88729e-17
1.47604e+09  2.97480e-17
1.62965e+09  3.08021e-17
1.79924e+09  3.21110e-17
1.98648e+09  3.35409e-17
2.19321e+09  3.46978e-17
2.42145e+09  3.38159e-17
2.67344e+09  2.65747e-17
2.95165e+09  9.80588e-18
3.25882e+09  7.22251e-20
3.59796e+09  0.00000e+00
