# time  flux
1.00000e+01  5.95534e-17
1.10130e+01  5.95205e-17
1.21287e+01  5.95605e-17
1.33573e+01  5.95997e-17
1.47104e+01  5.95680e-17
1.62006e+01  5.95485e-17
1.78418e+01  5.95935e-17
1.96492e+01  5.95336e-17
2.16396e+01  5.95776e-17
2.38318e+01  5.95742e-17
2.62460e+01  5.95010e-17
2.89047e+01  5.95397e-17
3.18328e+01  5.95377e-17
3.50575e+01  5.95308e-17
3.86089e+01  5.95637e-17
4.25201e+01  5.95689e-17
4.68274e+01  5.95847e-17
5.15711e+01  5.95385e-17
5.67954e+01  5.95577e-17
6.25488e+01  5.95246e-17
6.88851e+01  5.94916e-17
7.58633e+01  5.95294e-17
8.35483e+01  5.95167e-17
9.20119e+01  5.95311e-17
1.01333e+02  5.95245e-17
1.11598e+02  5.95525e-17
1.22903e+02  5.95310e-17
1.35353e+02  5.94921e-17
1.49065e+02  5.95474e-17
1.64165e+02  5.95283e-17
1.80796e+02  5.95487e-17
1.99111e+02  5.95461e-17
2.19281e+02  5.95757e-17
2.41494e+02  5.95283e-17
2.65958e+02  5.95129e-17
2.92900e+02  5.95582e-17
3.22571e+02  5.95765e-17
3.55248e+02  5.95147e-17
3.91235e+02  5.95503e-17
4.30868e+02  5.95778e-17
4.74516e+02  5.95802e-17
5.22585e+02  5.95515e-17
5.75524e+02  5.95405e-17
6.33825e+02  5.95218e-17
6.98033e+02  5.96259e-17
7.68744e+02  5.95734e-17
8.46619e+02  5.95462e-17
9.32383e+02  5.95687e-17
1.02684e+03  5.95760e-17
1.13086e+03  5.95701e-17
1.24541e+03  5.95601e-17
1.37158e+03  5.95573e-17
1.51052e+03  5.95571e-17
1.66354e+03  5.95305e-17
1.83205e+03  5.95030e-17
2.01764e+03  5.96183e-17
2.22203e+03  5.95766e-17
2.44713e+03  5.95911e-17
2.69503e+03  5.95092e-17
2.96804e+03  5.95179e-17
3.26871e+03  5.95725e-17
3.59983e+03  5.95610e-17
3.96450e+03  5.95763e-17
4.36611e+03  5.95566e-17
4.80840e+03  5.95035e-17
5.29550e+03  5.95781e-17
5.83195e+03  5.95542e-17
6.42273e+03  5.95539e-17
7.07337e+03  5.95665e-17
7.78991e+03  5.94916e-17
8.57904e+03  5.95681e-17
9.44811e+03  5.95907e-17
1.04052e+04  5.95177e-17
1.14593e+04  5.95543e-17
1.26201e+04  5.95588e-17
1.38986e+04  5.95592e-17
1.53065e+04  5.95809e-17
1.68571e+04  5.95282e-17
1.85647e+04  5.95668e-17
2.04454e+04  5.95847e-17
2.25165e+04  5.95086e-17
2.47975e+04  5.95758e-17
2.73095e+04  5.95429e-17
3.00760e+04  5.95568e-17
3.31227e+04  5.95227e-17
3.64781e+04  5.95252e-17
4.01734e+04  5.95765e-17
4.42431e+04  5.95754e-17
4.87250e+04  5.95808e-17
5.36609e+04  5.95806e-17
5.90968e+04  5.96050e-17
6.50834e+04  5.95128e-17
7.16764e+04  5.95132e-17
7.89374e+04  5.95642e-17
8.69339e+04  5.95831e-17
9.57404e+04  5.95022e-17
1.05439e+05  5.95608e-17
1.16120e+05  5.96013e-17
1.27883e+05  5.95667e-17
1.40838e+05  5.95031e-17
1.55105e+05  5.95963e-17
1.70818e+05  5.95487e-17
1.88122e+05  5.95407e-17
2.07179e+05  5.95633e-17
2.28166e+05  5.95465e-17
2.51280e+05  5.95529e-17
2.76735e+05  5.95624e-17
3.04769e+05  5.95651e-17
3.35642e+05  5.95554e-17
3.69643e+05  5.96051e-17
4.07089e+05  5.95960e-17
4.48328e+05  5.95437e-17
4.93744e+05  5.95481e-17
5.43761e+05  5.95812e-17
5.98845e+05  5.95392e-17
6.59509e+05  5.95976e-17
7.26318e+05  5.95941e-17
7.99895e+05  5.95773e-17
8.80926e+05  5.95927e-17
9.70165e+05  5.96421e-17
1.06844e+06  5.96017e-17
1.17668e+06  5.95586e-17
1.29588e+06  5.95852e-17
1.42715e+06  5.95845e-17
1.57173e+06  5.95959e-17
1.73094e+06  5.96075e-17
1.90629e+06  5.96550e-17
2.09940e+06  5.96488e-17
2.31208e+06  5.96823e-17
2.54629e+06  5.97103e-17
2.80424e+06  5.96935e-17
3.08831e+06  5.96883e-17
3.40116e+06  5.97285e-17
3.74570e+06  5.97364e-17
4.12515e+06  5.97434e-17
4.54303e+06  5.97853e-17
5.00325e+06  5.98087e-17
5.51009e+06  5.98525e-17
6.06827e+06  5.99047e-17
6.68299e+06  5.98849e-17
7.35999e+06  5.99856e-17
8.10557e+06  5.99441e-17
8.92668e+06  6.00683e-17
9.83096e+06  6.01162e-17
1.08269e+07  6.01649e-17
1.19236e+07  6.02307e-17
1.31315e+07  6.02899e-17
1.44618e+07  6.03826e-17
1.59268e+07  6.04902e-17
1.75402e+07  6.05425e-17
1.93170e+07  6.06678e-17
2.12739e+07  6.08370e-17
2.34289e+07  6.08805e-17
2.58023e+07  6.11333e-17
2.84161e+07  6.14292e-17
3.12947e+07  6.15763e-17
3.44649e+07  6.18762e-17
3.79563e+07  6.22474e-17
4.18013e+07  6.30252e-17
4.60359e+07  1.43178e-16
5.06994e+07  1.54037e-16
5.58353e+07  1.54424e-16
6.14915e+07  1.54574e-16
6.77207e+07  1.55107e-16
7.45809e+07  1.56309e-16
