# time  flux
1.00000e+01  5.68984e-17
1.10143e+01  5.68976e-17
1.21315e+01  5.69020e-17
1.33620e+01  5.69050e-17
1.47173e+01  5.69002e-17
1.62101e+01  5.69005e-17
1.78543e+01  5.68974e-17
1.96652e+01  5.69012e-17
2.16599e+01  5.69054e-17
2.38569e+01  5.68984e-17
2.62767e+01  5.68927e-17
2.89419e+01  5.68981e-17
3.18775e+01  5.69015e-17
3.51108e+01  5.69013e-17
3.86721e+01  5.68967e-17
4.25947e+01  5.69034e-17
4.69151e+01  5.69037e-17
5.16737e+01  5.69019e-17
5.69150e+01  5.69066e-17
6.26879e+01  5.69050e-17
6.90463e+01  5.69028e-17
7.60497e+01  5.69043e-17
8.37634e+01  5.68970e-17
9.22596e+01  5.69016e-17
1.01618e+02  5.69002e-17
1.11925e+02  5.69021e-17
1.23277e+02  5.68965e-17
1.35781e+02  5.68926e-17
1.49554e+02  5.69031e-17
1.64723e+02  5.68999e-17
1.81431e+02  5.69012e-17
1.99833e+02  5.69006e-17
2.20102e+02  5.69030e-17
2.42427e+02  5.69016e-17
2.67017e+02  5.69017e-17
2.94100e+02  5.69037e-17
3.23931e+02  5.68983e-17
3.56788e+02  5.68999e-17
3.92977e+02  5.68988e-17
4.32836e+02  5.68978e-17
4.76739e+02  5.69009e-17
5.25095e+02  5.68981e-17
5.78356e+02  5.69030e-17
6.37018e+02  5.69032e-17
7.01631e+02  5.69019e-17
7.72798e+02  5.69003e-17
8.51183e+02  5.68993e-17
9.37519e+02  5.68981e-17
1.03261e+03  5.69035e-17
1.13735e+03  5.69014e-17
1.25271e+03  5.69002e-17
1.37977e+03  5.69021e-17
1.51973e+03  5.69001e-17
1.67387e+03  5.69042e-17
1.84365e+03  5.68959e-17
2.03066e+03  5.69024e-17
2.23663e+03  5.69031e-17
2.46349e+03  5.69063e-17
2.71336e+03  5.69022e-17
2.98858e+03  5.69011e-17
3.29171e+03  5.69006e-17
3.62559e+03  5.69018e-17
3.99333e+03  5.69065e-17
4.39838e+03  5.69054e-17
4.84450e+03  5.69059e-17
5.33588e+03  5.68999e-17
5.87710e+03  5.69051e-17
6.47322e+03  5.69023e-17
7.12980e+03  5.69023e-17
7.85298e+03  5.68981e-17
8.64951e+03  5.69065e-17
9.52683e+03  5.68958e-17
1.04931e+04  5.69022e-17
1.15575e+04  5.69083e-17
1.27297e+04  5.69014e-17
1.40209e+04  5.69016e-17
1.54431e+04  5.69074e-17
1.70095e+04  5.68996e-17
1.87347e+04  5.69069e-17
2.06350e+04  5.69021e-17
2.27280e+04  5.68992e-17
2.50333e+04  5.69072e-17
2.75725e+04  5.69036e-17
3.03692e+04  5.69025e-17
3.34495e+04  5.69006e-17
3.68423e+04  5.69004e-17
4.05792e+04  5.68977e-17
4.46952e+04  5.68999e-17
4.92286e+04  5.69064e-17
5.42219e+04  5.69001e-17
5.97217e+04  5.69106e-17
6.57793e+04  5.69070e-17
7.24513e+04  5.69079e-17
7.98000e+04  5.69062e-17
8.78942e+04  5.69072e-17
9.68093e+04  5.69041e-17
1.06629e+05  5.69062e-17
