# time  flux
1.00000e+01  5.95539e-17
1.10130e+01  5.95556e-17
1.21287e+01  5.95488e-17
1.33573e+01  5.95468e-17
1.47104e+01  5.95445e-17
1.62006e+01  5.95487e-17
1.78418e+01  5.95475e-17
1.96492e+01  5.95517e-17
2.16396e+01  5.95555e-17
2.38318e+01  5.95506e-17
2.62460e+01  5.95545e-17
2.89047e+01  5.95494e-17
3.18328e+01  5.95531e-17
3.50575e+01  5.95436e-17
3.86089e+01  5.95536e-17
4.25201e+01  5.95530e-17
4.68274e+01  5.95539e-17
5.15711e+01  5.95581e-17
5.67954e+01  5.95524e-17
6.25488e+01  5.95498e-17
6.88851e+01  5.95566e-17
7.58633e+01  5.95548e-17
8.35483e+01  5.95518e-17
9.20119e+01  5.95461e-17
1.01333e+02  5.95521e-17
1.11598e+02  5.95481e-17
1.22903e+02  5.95480e-17
1.35353e+02  5.95499e-17
1.49065e+02  5.95505e-17
1.64165e+02  5.95497e-17
1.80796e+02  5.95545e-17
1.99111e+02  5.95504e-17
2.19281e+02  5.95527e-17
2.41494e+02  5.95529e-17
2.65958e+02  5.95519e-17
2.92900e+02  5.95521e-17
3.22571e+02  5.95522e-17
3.55248e+02  5.95534e-17
3.91235e+02  5.95522e-17
4.30868e+02  5.95500e-17
4.74516e+02  5.95519e-17
5.22585e+02  5.95491e-17
5.75524e+02  5.95507e-17
6.33825e+02  5.95529e-17
6.98033e+02  5.95529e-17
7.68744e+02  5.95491e-17
8.46619e+02  5.95484e-17
9.32383e+02  5.95545e-17
1.02684e+03  5.95576e-17
1.13086e+03  5.95449e-17
1.24541e+03  5.95493e-17
1.37158e+03  5.95515e-17
1.51052e+03  5.95552e-17
1.66354e+03  5.95475e-17
1.83205e+03  5.95492e-17
2.01764e+03  5.95491e-17
2.22203e+03  5.95477e-17
2.44713e+03  5.95522e-17
2.69503e+03  5.95532e-17
2.96804e+03  5.95512e-17
3.26871e+03  5.95457e-17
3.59983e+03  5.95453e-17
3.96450e+03  5.95508e-17
4.36611e+03  5.95509e-17
4.80840e+03  5.95495e-17
5.29550e+03  5.95535e-17
5.83195e+03  5.95493e-17
6.42273e+03  5.95529e-17
7.07337e+03  5.95531e-17
7.78991e+03  5.95511e-17
8.57904e+03  5.95408e-17
9.44811e+03  5.95540e-17
1.04052e+04  5.95504e-17
1.14593e+04  5.95523e-17
1.26201e+04  5.95564e-17
1.38986e+04  5.95578e-17
1.53065e+04  5.95554e-17
1.68571e+04  5.95543e-17
1.85647e+04  5.95568e-17
2.04454e+04  5.95531e-17
2.25165e+04  5.95478e-17
2.47975e+04  5.95500e-17
2.73095e+04  5.95495e-17
3.00760e+04  5.95478e-17
3.31227e+04  5.95555e-17
3.64781e+04  5.95504e-17
4.01734e+04  5.95534e-17
4.42431e+04  5.95576e-17
4.87250e+04  5.95553e-17
5.36609e+04  5.95493e-17
5.90968e+04  5.95513e-17
6.50834e+04  5.95478e-17
7.16764e+04  5.95591e-17
7.89374e+04  5.95544e-17
8.69339e+04  5.95578e-17
9.57404e+04  5.95532e-17
1.05439e+05  5.95622e-17
1.16120e+05  5.95629e-17
1.27883e+05  5.95599e-17
1.40838e+05  5.95641e-17
1.55105e+05  5.95594e-17
1.70818e+05  5.95608e-17
1.88122e+05  5.95539e-17
2.07179e+05  5.95661e-17
2.28166e+05  5.95682e-17
2.51280e+05  5.95633e-17
2.76735e+05  5.95669e-17
3.04769e+05  5.95719e-17
3.35642e+05  5.95792e-17
3.69643e+05  5.95750e-17
4.07089e+05  5.95762e-17
4.48328e+05  5.95782e-17
4.93744e+05  5.95819e-17
5.43761e+05  5.95839e-17
5.98845e+05  5.95876e-17
6.59509e+05  5.95905e-17
7.26318e+05  5.95913e-17
7.99895e+05  5.95971e-17
8.80926e+05  5.96057e-17
9.70165e+05  5.96144e-17
1.06844e+06  5.96169e-17
1.17668e+06  5.96236e-17
1.29588e+06  5.96273e-17
1.42715e+06  5.96372e-17
1.57173e+06  5.96468e-17
1.73094e+06  5.96598e-17
1.90629e+06  5.96639e-17
2.09940e+06  5.96788e-17
2.31208e+06  5.96886e-17
2.54629e+06  5.97067e-17
2.80424e+06  5.97209e-17
3.08831e+06  5.97452e-17
3.40116e+06  5.97601e-17
3.74570e+06  5.97824e-17
4.12515e+06  5.98115e-17
4.54303e+06  5.98364e-17
5.00325e+06  5.98683e-17
5.51009e+06  5.98923e-17
6.06827e+06  5.99303e-17
6.68299e+06  5.99650e-17
7.35999e+06  6.00143e-17
8.10557e+06  6.00687e-17
8.92668e+06  6.01188e-17
9.83096e+06  6.01856e-17
1.08269e+07  6.02545e-17
1.19236e+07  6.03340e-17
1.31315e+07  6.04258e-17
1.44618e+07  6.05204e-17
1.59268e+07  6.06314e-17
1.75402e+07  6.07586e-17
1.93170e+07  6.09058e-17
2.12739e+07  6.10781e-17
2.34289e+07  6.12799e-17
2.58023e+07  6.15376e-17
2.84161e+07  6.18499e-17
3.12947e+07  6.22738e-17
3.44649e+07  6.29340e-17
3.79563e+07  6.42748e-17
4.18013e+07  7.32142e-17
4.60359e+07  1.82855e-13
5.06994e+07  7.37901e-14
5.58353e+07  4.45918e-14
6.14915e+07  3.10561e-14
6.77207e+07  2.32961e-14
7.45809e+07  1.82760e-14
8.21361e+07  1.47822e-14
9.04566e+07  1.22073e-14
9.96200e+07  1.02515e-14
1.09712e+08  8.72390e-15
1.20826e+08  7.49461e-15
1.33065e+08  6.48963e-15
1.46545e+08  5.66183e-15
1.61390e+08  4.96825e-15
1.77740e+08  4.38152e-15
1.95745e+08  3.87945e-15
2.15574e+08  3.44817e-15
2.37412e+08  3.07590e-15
2.61462e+08  2.75280e-15
2.87949e+08  2.47124e-15
3.17119e+08  2.22326e-15
3.49243e+08  2.00692e-15
3.84622e+08  1.81674e-15
4.23585e+08  1.64907e-15
4.66495e+08  1.50182e-15
5.13751e+08  1.37204e-15
5.65795e+08  1.25782e-15
6.23111e+08  1.15798e-15
6.86233e+08  1.07156e-15
7.55750e+08  9.97620e-16
8.32308e+08  9.35095e-16
9.16623e+08  8.84052e-16
1.00948e+09  8.43906e-16
1.11174e+09  8.14048e-16
1.22436e+09  7.91828e-16
1.34839e+09  7.65618e-16
1.48498e+09  7.00153e-16
1.63542e+09  5.16272e-16
1.80109e+09  1.74917e-16
1.98354e+09  1.04147e-18
2.18447e+09  0.00000e+00
