# time  flux
1.00000e+01  4.78370e-16
1.09555e+01  4.78329e-16
1.20024e+01  4.78000e-16
1.31492e+01  4.78268e-16
1.44057e+01  4.77946e-16
1.57822e+01  4.77872e-16
1.72902e+01  4.77950e-16
1.89424e+01  4.77875e-16
2.07524e+01  4.77911e-16
2.27353e+01  4.78138e-16
2.49077e+01  4.78268e-16
2.72877e+01  4.78112e-16
2.98952e+01  4.77980e-16
3.27517e+01  4.77894e-16
3.58813e+01  4.78072e-16
3.93098e+01  4.77914e-16
4.30660e+01  4.78053e-16
4.71811e+01  4.77710e-16
5.16894e+01  4.78206e-16
5.66285e+01  4.78100e-16
6.20395e+01  4.78509e-16
6.79676e+01  4.78646e-16
7.44621e+01  4.78128e-16
8.15771e+01  4.77939e-16
8.93721e+01  4.78126e-16
9.79119e+01  4.77901e-16
1.07268e+02  4.77789e-16
1.17517e+02  4.77603e-16
1.28747e+02  4.78013e-16
1.41049e+02  4.77698e-16
1.54526e+02  4.78092e-16
1.69292e+02  4.77959e-16
1.85468e+02  4.78221e-16
2.03190e+02  4.77671e-16
2.22606e+02  4.78257e-16
2.43876e+02  4.78035e-16
2.67179e+02  4.77965e-16
2.92709e+02  4.78033e-16
3.20678e+02  4.77858e-16
3.51320e+02  4.77968e-16
3.84890e+02  4.78505e-16
4.21667e+02  4.77852e-16
4.61959e+02  4.77817e-16
5.06101e+02  4.78109e-16
5.54460e+02  4.78152e-16
6.07440e+02  4.77913e-16
6.65483e+02  4.78004e-16
7.29072e+02  4.77693e-16
7.98737e+02  4.77908e-16
8.75059e+02  4.78417e-16
9.58673e+02  4.78274e-16
1.05028e+03  4.78082e-16
1.15063e+03  4.78054e-16
1.26058e+03  4.78427e-16
1.38103e+03  4.78419e-16
1.51300e+03  4.77805e-16
1.65757e+03  4.78201e-16
1.81595e+03  4.78353e-16
1.98947e+03  4.78302e-16
2.17957e+03  4.78153e-16
2.38784e+03  4.78102e-16
2.61600e+03  4.77638e-16
2.86597e+03  4.78580e-16
3.13982e+03  4.78089e-16
3.43984e+03  4.78107e-16
3.76853e+03  4.78202e-16
4.12862e+03  4.78099e-16
4.52313e+03  4.78272e-16
