# time  flux
1.00000e+01  4.78061e-16
1.09555e+01  4.78066e-16
1.20024e+01  4.78058e-16
1.31492e+01  4.78060e-16
1.44057e+01  4.77995e-16
1.57822e+01  4.78090e-16
1.72902e+01  4.78065e-16
1.89424e+01  4.78081e-16
2.07524e+01  4.78061e-16
2.27353e+01  4.78049e-16
2.49077e+01  4.78048e-16
2.72877e+01  4.78068e-16
2.98952e+01  4.78082e-16
3.27517e+01  4.78097e-16
3.58813e+01  4.78070e-16
3.93098e+01  4.78039e-16
4.30660e+01  4.78043e-16
4.71811e+01  4.78033e-16
5.16894e+01  4.78107e-16
5.66285e+01  4.78026e-16
6.20395e+01  4.78080e-16
6.79676e+01  4.78046e-16
7.44621e+01  4.78094e-16
8.15771e+01  4.78037e-16
8.93721e+01  4.77997e-16
9.79119e+01  4.78026e-16
1.07268e+02  4.78079e-16
1.17517e+02  4.78029e-16
1.28747e+02  4.78066e-16
1.41049e+02  4.78114e-16
1.54526e+02  4.78079e-16
1.69292e+02  4.78023e-16
1.85468e+02  4.78054e-16
2.03190e+02  4.78027e-16
2.22606e+02  4.78052e-16
2.43876e+02  4.78084e-16
2.67179e+02  4.78084e-16
2.92709e+02  4.78100e-16
3.20678e+02  4.78068e-16
3.51320e+02  4.78025e-16
3.84890e+02  4.78048e-16
4.21667e+02  4.78030e-16
4.61959e+02  4.78060e-16
5.06101e+02  4.78083e-16
5.54460e+02  4.78081e-16
6.07440e+02  4.78076e-16
6.65483e+02  4.78088e-16
7.29072e+02  4.78080e-16
7.98737e+02  4.78084e-16
8.75059e+02  4.78107e-16
9.58673e+02  4.78067e-16
1.05028e+03  4.78120e-16
1.15063e+03  4.78055e-16
1.26058e+03  4.78058e-16
1.38103e+03  4.78052e-16
1.51300e+03  4.78091e-16
1.65757e+03  4.78083e-16
1.81595e+03  4.78038e-16
1.98947e+03  4.78058e-16
2.17957e+03  4.78039e-16
2.38784e+03  4.78090e-16
2.61600e+03  4.78039e-16
2.86597e+03  4.78093e-16
3.13982e+03  4.78065e-16
3.43984e+03  4.78032e-16
3.76853e+03  4.78087e-16
4.12862e+03  4.78112e-16
4.52313e+03  4.78094e-16
4.95532e+03  4.78098e-16
5.42882e+03  4.78093e-16
5.94756e+03  4.78088e-16
6.51587e+03  4.78108e-16
7.13848e+03  4.78057e-16
7.82058e+03  4.78084e-16
8.56786e+03  4.78088e-16
9.38655e+03  4.78038e-16
1.02835e+04  4.78051e-16
1.12661e+04  4.78055e-16
1.23426e+04  4.78093e-16
1.35220e+04  4.78045e-16
1.48140e+04  4.78121e-16
1.62296e+04  4.78063e-16
1.77803e+04  4.78057e-16
1.94793e+04  4.78112e-16
2.13406e+04  4.78103e-16
2.33798e+04  4.78074e-16
2.56138e+04  4.78104e-16
2.80612e+04  4.78068e-16
3.07426e+04  4.78118e-16
3.36801e+04  4.78089e-16
3.68984e+04  4.78093e-16
4.04241e+04  4.78058e-16
4.42868e+04  4.78121e-16
4.85185e+04  4.78113e-16
5.31546e+04  4.78171e-16
5.82337e+04  4.78104e-16
6.37981e+04  4.78126e-16
6.98942e+04  4.78116e-16
7.65728e+04  4.78196e-16
8.38896e+04  4.78139e-16
9.19055e+04  4.78177e-16
1.00687e+05  4.78180e-16
1.10308e+05  4.78149e-16
1.20849e+05  4.78173e-16
1.32396e+05  4.78212e-16
1.45047e+05  4.78205e-16
1.58907e+05  4.78220e-16
1.74091e+05  4.78202e-16
1.90725e+05  4.78218e-16
2.08950e+05  4.78263e-16
2.28916e+05  4.78258e-16
2.50789e+05  4.78326e-16
2.74753e+05  4.78375e-16
3.01006e+05  4.78384e-16
3.29768e+05  4.78372e-16
3.61279e+05  4.78455e-16
3.95800e+05  4.78454e-16
4.33620e+05  4.78505e-16
4.75054e+05  4.78520e-16
5.20447e+05  4.78529e-16
5.70177e+05  4.78650e-16
6.24659e+05  4.78664e-16
6.84347e+05  4.78730e-16
7.49739e+05  4.78762e-16
8.21378e+05  4.78870e-16
8.99864e+05  4.78913e-16
9.85848e+05  4.79014e-16
1.08005e+06  4.79054e-16
1.18325e+06  4.79245e-16
1.29631e+06  4.79297e-16
1.42018e+06  4.79467e-16
1.55588e+06  4.79585e-16
1.70455e+06  4.79722e-16
1.86743e+06  4.79949e-16
2.04587e+06  4.80075e-16
2.24136e+06  4.80259e-16
2.45552e+06  4.80506e-16
2.69016e+06  4.80722e-16
2.94721e+06  4.81011e-16
3.22882e+06  4.81281e-16
3.53735e+06  4.81639e-16
3.87535e+06  4.81943e-16
4.24565e+06  4.82361e-16
4.65134e+06  4.82854e-16
5.09579e+06  4.83292e-16
5.58271e+06  4.83909e-16
6.11615e+06  4.84491e-16
6.70057e+06  4.85204e-16
7.34083e+06  4.85934e-16
8.04227e+06  4.86823e-16
8.81073e+06  4.87845e-16
9.65262e+06  4.89006e-16
1.05750e+07  4.90456e-16
1.15854e+07  4.92149e-16
1.26925e+07  4.94367e-16
1.39053e+07  4.97759e-16
1.52339e+07  1.42679e-15
1.66896e+07  1.42100e-15
1.82843e+07  1.41942e-15
2.00315e+07  1.42056e-15
2.19455e+07  1.42212e-15
2.40425e+07  1.42400e-15
2.63398e+07  1.42703e-15
2.88567e+07  1.42992e-15
3.16140e+07  1.43369e-15
3.46348e+07  1.43723e-15
3.79443e+07  1.44123e-15
4.15700e+07  1.44598e-15
4.55421e+07  1.45152e-15
4.98938e+07  1.45705e-15
5.46613e+07  1.46353e-15
5.98844e+07  1.47043e-15
6.56065e+07  1.47866e-15
7.18754e+07  1.48771e-15
7.87434e+07  1.49799e-15
8.62675e+07  1.50948e-15
9.45106e+07  1.52243e-15
1.03541e+08  1.53709e-15
1.13435e+08  1.55385e-15
1.24274e+08  1.57218e-15
1.36149e+08  1.59380e-15
1.49158e+08  1.61827e-15
1.63411e+08  1.64631e-15
1.79025e+08  1.67854e-15
1.96132e+08  1.71630e-15
2.14873e+08  1.75950e-15
2.35405e+08  1.81126e-15
2.57898e+08  1.87165e-15
2.82541e+08  1.94388e-15
3.09539e+08  2.02922e-15
3.39116e+08  2.13210e-15
3.71520e+08  2.25396e-15
4.07020e+08  2.39353e-15
4.45912e+08  2.53553e-15
4.88520e+08  2.62231e-15
5.35199e+08  2.48754e-15
5.86339e+08  1.80990e-15
6.42366e+08  5.50576e-16
7.03746e+08  2.11477e-18
7.70991e+08  0.00000e+00
