# time  flux
1.00000e+01  5.95410e-17
1.10130e+01  5.95518e-17
1.21287e+01  5.95751e-17
1.33573e+01  5.95435e-17
1.47104e+01  5.95772e-17
1.62006e+01  5.95190e-17
1.78418e+01  5.95779e-17
1.96492e+01  5.95385e-17
2.16396e+01  5.95721e-17
2.38318e+01  5.96074e-17
2.62460e+01  5.95618e-17
2.89047e+01  5.95526e-17
3.18328e+01  5.95461e-17
3.50575e+01  5.95632e-17
3.86089e+01  5.95755e-17
4.25201e+01  5.95830e-17
4.68274e+01  5.95133e-17
5.15711e+01  5.95367e-17
5.67954e+01  5.95492e-17
6.25488e+01  5.96063e-17
6.88851e+01  5.95568e-17
7.58633e+01  5.96115e-17
8.35483e+01  5.95270e-17
9.20119e+01  5.95861e-17
1.01333e+02  5.95670e-17
1.11598e+02  5.95850e-17
1.22903e+02  5.95880e-17
1.35353e+02  5.95392e-17
1.49065e+02  5.95336e-17
1.64165e+02  5.95669e-17
1.80796e+02  5.95103e-17
1.99111e+02  5.95447e-17
2.19281e+02  5.95450e-17
2.41494e+02  5.95763e-17
2.65958e+02  5.95851e-17
2.92900e+02  5.95959e-17
3.22571e+02  5.96047e-17
3.55248e+02  5.95509e-17
3.91235e+02  5.95333e-17
4.30868e+02  5.95540e-17
4.74516e+02  5.95459e-17
5.22585e+02  5.95629e-17
5.75524e+02  5.95854e-17
6.33825e+02  5.95361e-17
6.98033e+02  5.95292e-17
7.68744e+02  5.96020e-17
8.46619e+02  5.95959e-17
9.32383e+02  5.95148e-17
1.02684e+03  5.95599e-17
1.13086e+03  5.95416e-17
1.24541e+03  5.95417e-17
1.37158e+03  5.95439e-17
1.51052e+03  5.95624e-17
1.66354e+03  5.95815e-17
1.83205e+03  5.95557e-17
2.01764e+03  5.95769e-17
2.22203e+03  5.95390e-17
2.44713e+03  5.95780e-17
2.69503e+03  5.95067e-17
2.96804e+03  5.95890e-17
3.26871e+03  5.95883e-17
3.59983e+03  5.94926e-17
3.96450e+03  5.95728e-17
4.36611e+03  5.95319e-17
4.80840e+03  5.95825e-17
5.29550e+03  5.95399e-17
5.83195e+03  5.95520e-17
6.42273e+03  5.94969e-17
7.07337e+03  5.95383e-17
7.78991e+03  5.95357e-17
8.57904e+03  5.95573e-17
9.44811e+03  5.95324e-17
1.04052e+04  5.95346e-17
1.14593e+04  5.95832e-17
1.26201e+04  5.95288e-17
1.38986e+04  5.95630e-17
1.53065e+04  5.95749e-17
1.68571e+04  5.95692e-17
1.85647e+04  5.95896e-17
2.04454e+04  5.96099e-17
2.25165e+04  5.95555e-17
2.47975e+04  5.95527e-17
2.73095e+04  5.95906e-17
3.00760e+04  5.95297e-17
3.31227e+04  5.95286e-17
3.64781e+04  5.95413e-17
4.01734e+04  5.95626e-17
4.42431e+04  5.95525e-17
4.87250e+04  5.95853e-17
5.36609e+04  5.95710e-17
5.90968e+04  5.95043e-17
6.50834e+04  5.94826e-17
7.16764e+04  5.95710e-17
7.89374e+04  5.94973e-17
8.69339e+04  5.95538e-17
9.57404e+04  5.95252e-17
1.05439e+05  5.95830e-17
1.16120e+05  5.95441e-17
1.27883e+05  5.95894e-17
1.40838e+05  5.95747e-17
1.55105e+05  5.95964e-17
1.70818e+05  5.95611e-17
1.88122e+05  5.95438e-17
2.07179e+05  5.95591e-17
2.28166e+05  5.95430e-17
2.51280e+05  5.95970e-17
2.76735e+05  5.95389e-17
3.04769e+05  5.95650e-17
3.35642e+05  5.95381e-17
3.69643e+05  5.95534e-17
4.07089e+05  5.95846e-17
4.48328e+05  5.95712e-17
4.93744e+05  5.95667e-17
5.43761e+05  5.95258e-17
5.98845e+05  5.95495e-17
6.59509e+05  5.95791e-17
7.26318e+05  5.95637e-17
7.99895e+05  5.95738e-17
8.80926e+05  5.95769e-17
9.70165e+05  5.95985e-17
1.06844e+06  5.95667e-17
1.17668e+06  5.96108e-17
1.29588e+06  5.94989e-17
1.42715e+06  5.96012e-17
1.57173e+06  5.95754e-17
1.73094e+06  5.96360e-17
1.90629e+06  5.95801e-17
2.09940e+06  5.96170e-17
2.31208e+06  5.96198e-17
2.54629e+06  5.96100e-17
2.80424e+06  5.96785e-17
3.08831e+06  5.96272e-17
3.40116e+06  5.96620e-17
3.74570e+06  5.96914e-17
4.12515e+06  5.96925e-17
4.54303e+06  5.97168e-17
5.00325e+06  5.96740e-17
5.51009e+06  5.97364e-17
6.06827e+06  5.98045e-17
6.68299e+06  5.98074e-17
7.35999e+06  5.97800e-17
8.10557e+06  5.98063e-17
8.92668e+06  5.99046e-17
9.83096e+06  5.98923e-17
1.08269e+07  5.99366e-17
1.19236e+07  5.99423e-17
1.31315e+07  6.00438e-17
1.44618e+07  6.00804e-17
1.59268e+07  6.01005e-17
1.75402e+07  6.01588e-17
1.93170e+07  6.02326e-17
2.12739e+07  6.02756e-17
2.34289e+07  6.03877e-17
2.58023e+07  6.04174e-17
2.84161e+07  6.05372e-17
3.12947e+07  6.06678e-17
3.44649e+07  6.08430e-17
3.79563e+07  6.10227e-17
4.18013e+07  6.13293e-17
4.60359e+07  9.62495e-17
5.06994e+07  9.65851e-17
5.58353e+07  9.71736e-17
6.14915e+07  9.73337e-17
6.77207e+07  9.73452e-17
7.45809e+07  9.77835e-17
8.21361e+07  9.83120e-17
9.04566e+07  9.85897e-17
9.96200e+07  9.91417e-17
1.09712e+08  9.95007e-17
1.20826e+08  9.99012e-17
1.33065e+08  1.00501e-16
1.46545e+08  1.01273e-16
1.61390e+08  1.01904e-16
1.77740e+08  1.02988e-16
1.95745e+08  1.03282e-16
2.15574e+08  1.04297e-16
2.37412e+08  1.05652e-16
2.61462e+08  1.06931e-16
2.87949e+08  1.08380e-16
3.17119e+08  1.09662e-16
3.49243e+08  1.11546e-16
3.84622e+08  1.13649e-16
4.23585e+08  1.15940e-16
4.66495e+08  1.18609e-16
5.13751e+08  1.21654e-16
5.65795e+08  1.25308e-16
6.23111e+08  1.29826e-16
6.86233e+08  1.34708e-16
7.55750e+08  1.40378e-16
8.32308e+08  1.47760e-16
9.16623e+08  1.55870e-16
1.00948e+09  1.66024e-16
1.11174e+09  1.78031e-16
1.22436e+09  1.90888e-16
1.34839e+09  2.01584e-16
1.48498e+09  1.98463e-16
1.63542e+09  1.54435e-16
1.80109e+09  5.42537e-17
1.98354e+09  3.29264e-19
2.18447e+09  0.00000e+00
