# time  flux
1.00000e+01  5.95453e-17
1.10130e+01  5.95514e-17
1.21287e+01  5.95274e-17
1.33573e+01  5.95542e-17
1.47104e+01  5.95846e-17
1.62006e+01  5.95312e-17
1.78418e+01  5.95443e-17
1.96492e+01  5.95643e-17
2.16396e+01  5.95646e-17
2.38318e+01  5.95301e-17
2.62460e+01  5.94946e-17
2.89047e+01  5.95194e-17
3.18328e+01  5.95428e-17
3.50575e+01  5.95168e-17
3.86089e+01  5.95672e-17
4.25201e+01  5.95235e-17
4.68274e+01  5.95202e-17
5.15711e+01  5.95143e-17
5.67954e+01  5.96038e-17
6.25488e+01  5.95393e-17
6.88851e+01  5.95488e-17
7.58633e+01  5.95389e-17
8.35483e+01  5.95568e-17
9.20119e+01  5.95065e-17
1.01333e+02  5.96280e-17
1.11598e+02  5.95428e-17
1.22903e+02  5.95338e-17
1.35353e+02  5.95615e-17
1.49065e+02  5.96059e-17
1.64165e+02  5.95614e-17
1.80796e+02  5.95226e-17
1.99111e+02  5.96147e-17
2.19281e+02  5.95308e-17
2.41494e+02  5.95503e-17
2.65958e+02  5.95304e-17
2.92900e+02  5.95674e-17
3.22571e+02  5.95356e-17
3.55248e+02  5.95416e-17
3.91235e+02  5.95448e-17
4.30868e+02  5.95500e-17
4.74516e+02  5.96066e-17
5.22585e+02  5.95562e-17
5.75524e+02  5.95224e-17
6.33825e+02  5.95600e-17
6.98033e+02  5.95371e-17
7.68744e+02  5.95336e-17
8.46619e+02  5.95476e-17
9.32383e+02  5.95545e-17
1.02684e+03  5.95834e-17
1.13086e+03  5.95360e-17
1.24541e+03  5.95863e-17
1.37158e+03  5.96029e-17
1.51052e+03  5.95456e-17
1.66354e+03  5.95330e-17
1.83205e+03  5.95087e-17
2.01764e+03  5.95323e-17
2.22203e+03  5.95936e-17
2.44713e+03  5.95109e-17
2.69503e+03  5.95527e-17
2.96804e+03  5.95654e-17
3.26871e+03  5.95141e-17
3.59983e+03  5.95244e-17
3.96450e+03  5.95143e-17
4.36611e+03  5.95305e-17
4.80840e+03  5.95937e-17
5.29550e+03  5.96139e-17
5.83195e+03  5.95874e-17
6.42273e+03  5.95640e-17
7.07337e+03  5.95571e-17
7.78991e+03  5.95656e-17
8.57904e+03  5.95748e-17
9.44811e+03  5.95670e-17
1.04052e+04  5.95618e-17
1.14593e+04  5.95698e-17
1.26201e+04  5.95638e-17
1.38986e+04  5.95813e-17
1.53065e+04  5.95713e-17
1.68571e+04  5.95844e-17
1.85647e+04  5.95608e-17
2.04454e+04  5.94976e-17
2.25165e+04  5.95300e-17
2.47975e+04  5.95537e-17
2.73095e+04  5.95391e-17
3.00760e+04  5.95722e-17
3.31227e+04  5.95739e-17
3.64781e+04  5.95317e-17
4.01734e+04  5.95381e-17
4.42431e+04  5.95360e-17
4.87250e+04  5.95801e-17
5.36609e+04  5.95243e-17
5.90968e+04  5.95340e-17
6.50834e+04  5.95517e-17
7.16764e+04  5.95212e-17
7.89374e+04  5.95840e-17
8.69339e+04  5.95611e-17
9.57404e+04  5.95585e-17
1.05439e+05  5.95043e-17
1.16120e+05  5.95535e-17
1.27883e+05  5.95374e-17
1.40838e+05  5.96397e-17
1.55105e+05  5.95882e-17
1.70818e+05  5.95947e-17
1.88122e+05  5.95614e-17
2.07179e+05  5.95769e-17
2.28166e+05  5.96085e-17
2.51280e+05  5.95734e-17
2.76735e+05  5.95451e-17
3.04769e+05  5.95746e-17
3.35642e+05  5.95322e-17
3.69643e+05  5.95977e-17
4.07089e+05  5.95916e-17
4.48328e+05  5.96000e-17
4.93744e+05  5.95479e-17
5.43761e+05  5.95846e-17
5.98845e+05  5.95569e-17
6.59509e+05  5.95402e-17
7.26318e+05  5.95346e-17
7.99895e+05  5.95768e-17
8.80926e+05  5.95444e-17
9.70165e+05  5.95252e-17
1.06844e+06  5.95521e-17
1.17668e+06  5.95817e-17
1.29588e+06  5.95244e-17
1.42715e+06  5.95795e-17
1.57173e+06  5.95721e-17
1.73094e+06  5.95843e-17
1.90629e+06  5.95945e-17
2.09940e+06  5.95168e-17
2.31208e+06  5.95488e-17
2.54629e+06  5.95638e-17
2.80424e+06  5.95732e-17
3.08831e+06  5.95434e-17
3.40116e+06  5.95912e-17
3.74570e+06  5.95555e-17
4.12515e+06  5.96190e-17
4.54303e+06  5.96169e-17
5.00325e+06  5.95537e-17
5.51009e+06  5.95562e-17
6.06827e+06  5.95864e-17
6.68299e+06  5.95866e-17
7.35999e+06  5.95576e-17
8.10557e+06  5.96292e-17
8.92668e+06  5.95768e-17
9.83096e+06  5.95900e-17
1.08269e+07  5.95833e-17
1.19236e+07  5.96091e-17
1.31315e+07  5.96324e-17
1.44618e+07  5.96693e-17
1.59268e+07  5.96743e-17
1.75402e+07  5.96990e-17
1.93170e+07  5.96709e-17
2.12739e+07  5.96830e-17
2.34289e+07  5.96661e-17
2.58023e+07  5.96713e-17
2.84161e+07  5.97320e-17
3.12947e+07  5.98075e-17
3.44649e+07  5.98163e-17
3.79563e+07  5.98946e-17
4.18013e+07  6.00332e-17
4.60359e+07  7.85146e-17
5.06994e+07  7.94786e-17
5.58353e+07  7.95401e-17
6.14915e+07  7.94271e-17
6.77207e+07  7.94746e-17
7.45809e+07  7.94425e-17
8.21361e+07  7.97810e-17
9.04566e+07  7.99627e-17
9.96200e+07  8.01334e-17
1.09712e+08  8.02329e-17
1.20826e+08  8.04643e-17
1.33065e+08  8.06343e-17
1.46545e+08  8.07859e-17
