# year       flux
1.00000e-03  3.62215e-04
1.09278e-03  3.65024e-04
1.19417e-03  3.67249e-04
1.30496e-03  3.69728e-04
1.42603e-03  3.72631e-04
1.55834e-03  3.75195e-04
1.70292e-03  3.78008e-04
1.86092e-03  3.84073e-04
2.03357e-03  3.89165e-04
2.22225e-03  3.94976e-04
2.42843e-03  4.01354e-04
2.65373e-03  4.08914e-04
2.89995e-03  4.19879e-04
3.16900e-03  4.32040e-04
3.46302e-03  4.46480e-04
3.78432e-03  4.66646e-04
4.13542e-03  4.92584e-04
4.51910e-03  5.29462e-04
4.93838e-03  5.85477e-04
5.39657e-03  6.84293e-04
5.89726e-03  9.45399e-04
6.44440e-03  4.94409e-03
7.04231e-03  4.97319e-03
7.69569e-03  5.03307e-03
8.40969e-03  5.19742e-03
9.18993e-03  6.22636e-03
1.00426e-02  5.98967e-03
1.09743e-02  5.84355e-03
1.19925e-02  5.73769e-03
1.31052e-02  5.63243e-03
1.43211e-02  5.54952e-03
1.56497e-02  5.46682e-03
1.71017e-02  5.38563e-03
1.86884e-02  5.30484e-03
2.04223e-02  5.23923e-03
2.23171e-02  5.16847e-03
2.43876e-02  5.13668e-03
2.66503e-02  5.07656e-03
2.91229e-02  5.02113e-03
3.18249e-02  4.96050e-03
3.47776e-02  4.89580e-03
3.80043e-02  4.83871e-03
4.15303e-02  4.76707e-03
4.53834e-02  4.71051e-03
4.95941e-02  4.67850e-03
5.41954e-02  4.66499e-03
5.92236e-02  4.61545e-03
6.47183e-02  4.56239e-03
7.07229e-02  4.51100e-03
7.72845e-02  4.45069e-03
8.44549e-02  4.39281e-03
9.22906e-02  4.36362e-03
1.00853e-01  4.33470e-03
1.10210e-01  4.29161e-03
1.20436e-01  4.24394e-03
1.31610e-01  4.20337e-03
1.43820e-01  4.16395e-03
1.57164e-01  4.11683e-03
1.71745e-01  4.06748e-03
1.87680e-01  4.02641e-03
2.05092e-01  3.98618e-03
2.24121e-01  3.94277e-03
2.44915e-01  3.89810e-03
2.67638e-01  3.85219e-03
2.92469e-01  3.80978e-03
3.19604e-01  3.77231e-03
3.49257e-01  3.72779e-03
3.81660e-01  3.67922e-03
4.17071e-01  3.64058e-03
4.55766e-01  3.59176e-03
4.98052e-01  3.55686e-03
5.44261e-01  3.50974e-03
5.94757e-01  3.46081e-03
6.49938e-01  3.40716e-03
7.10239e-01  3.35179e-03
7.76135e-01  3.32327e-03
8.48144e-01  3.27481e-03
9.26834e-01  3.21786e-03
1.01283e+00  3.16224e-03
1.10679e+00  3.10537e-03
1.20948e+00  3.04499e-03
1.32170e+00  2.97637e-03
1.44432e+00  2.89506e-03
1.57833e+00  2.80923e-03
1.72476e+00  2.71987e-03
1.88479e+00  2.61076e-03
2.05966e+00  2.47045e-03
2.25075e+00  2.30184e-03
2.45957e+00  2.09616e-03
2.68777e+00  1.83332e-03
2.93714e+00  1.51349e-03
3.20965e+00  1.13765e-03
3.50743e+00  7.42504e-04
3.83285e+00  3.88999e-04
4.18846e+00  1.49222e-04
4.57706e+00  4.01588e-05
5.00172e+00  5.73621e-06
5.46578e+00  1.16866e-07
5.97289e+00  5.37930e-13
6.52705e+00  0.00000e+00
