# mx         event         exit_code
1.00000e-06  6.32058e+05  0
2.48163e-06  1.91857e+05  0
6.15848e-06  1.27060e+05  0
1.52831e-05  2.99811e+04  0
3.79269e-05  1.06791e+04  0
9.41205e-05  4.62804e+02  0
2.33572e-04  5.27292e+02  0
5.79639e-04  2.01153e+01  0
1.43845e-03  3.75952e+01  0
3.56970e-03  2.16372e+00  0
8.85867e-03  1.54533e+00  0
2.19839e-02  5.37966e-01  0
5.45559e-02  1.41243e-02  0
1.35388e-01  1.03994e-02  0
3.35982e-01  1.96665e-04  0
8.33782e-01  1.99268e-06  0
2.06914e+00  1.40771e-08  0
5.13483e+00  6.58164e-11  0
1.27427e+01  6.57827e-14  0
3.16228e+01  1.16643e-17  0
