# year       flux
1.00000e-03  6.77390e-04
1.08898e-03  6.79212e-04
1.18588e-03  6.75423e-04
1.29140e-03  6.78528e-04
1.40630e-03  6.77840e-04
1.53144e-03  6.76825e-04
1.66770e-03  6.76990e-04
1.81609e-03  6.73620e-04
1.97769e-03  6.75633e-04
2.15366e-03  6.75180e-04
2.34529e-03  6.72552e-04
2.55398e-03  6.75403e-04
2.78123e-03  6.74490e-04
3.02870e-03  6.75325e-04
3.29820e-03  6.75597e-04
3.59167e-03  6.76905e-04
3.91125e-03  6.78467e-04
4.25927e-03  6.80493e-04
4.63826e-03  6.80961e-04
5.05097e-03  6.90113e-04
5.50041e-03  7.02691e-04
5.98983e-03  7.38841e-04
6.52280e-03  9.27020e-04
7.10320e-03  8.91394e-04
7.73524e-03  8.69303e-04
8.42352e-03  8.51381e-04
9.17304e-03  8.35263e-04
9.98926e-03  8.20567e-04
1.08781e-02  8.06571e-04
1.18460e-02  7.93675e-04
1.29001e-02  7.80686e-04
1.40479e-02  7.68900e-04
1.52979e-02  7.56438e-04
1.66591e-02  7.45474e-04
1.81414e-02  7.33464e-04
1.97556e-02  7.22202e-04
2.15135e-02  7.10637e-04
2.34277e-02  6.99659e-04
2.55123e-02  6.87964e-04
2.77824e-02  6.76842e-04
3.02545e-02  6.66902e-04
3.29465e-02  6.55696e-04
3.58781e-02  6.45151e-04
3.90705e-02  6.33929e-04
4.25470e-02  6.23165e-04
4.63328e-02  6.12597e-04
5.04555e-02  6.02350e-04
5.49450e-02  5.91571e-04
5.98340e-02  5.81523e-04
6.51580e-02  5.70626e-04
7.09557e-02  5.59928e-04
7.72693e-02  5.49585e-04
8.41447e-02  5.38834e-04
9.16319e-02  5.28421e-04
9.97852e-02  5.17687e-04
1.08664e-01  5.07482e-04
1.18333e-01  4.97214e-04
1.28862e-01  4.86852e-04
1.40328e-01  4.76380e-04
1.52815e-01  4.65543e-04
1.66412e-01  4.53125e-04
1.81219e-01  4.44225e-04
1.97344e-01  4.33919e-04
2.14904e-01  4.21952e-04
2.34026e-01  4.13072e-04
2.54849e-01  4.02514e-04
2.77526e-01  3.91704e-04
3.02220e-01  3.81166e-04
3.29111e-01  3.69224e-04
3.58395e-01  3.58093e-04
3.90285e-01  3.48735e-04
4.25013e-01  3.35545e-04
4.62830e-01  3.26713e-04
5.04013e-01  3.15123e-04
5.48859e-01  3.03930e-04
5.97697e-01  2.92210e-04
6.50880e-01  2.81587e-04
7.08795e-01  2.69300e-04
7.71863e-01  2.58139e-04
8.40543e-01  2.46427e-04
9.15334e-01  2.33207e-04
9.96780e-01  2.21735e-04
1.08547e+00  2.08635e-04
1.18206e+00  1.95519e-04
1.28724e+00  1.82303e-04
1.40177e+00  1.67724e-04
1.52650e+00  1.53299e-04
1.66233e+00  1.37790e-04
1.81025e+00  1.21572e-04
1.97132e+00  1.04151e-04
2.14673e+00  8.59839e-05
2.33774e+00  6.71403e-05
2.54575e+00  4.78742e-05
2.77227e+00  3.01440e-05
3.01895e+00  1.51762e-05
3.28758e+00  5.12437e-06
3.58010e+00  7.72336e-07
3.89866e+00  1.40244e-08
4.24556e+00  3.87992e-14
4.62333e+00  0.00000e+00
